title,description,url
Trump calls for Afghan refugees to be investigated after shooting,Washington DC Mayor Muriel Bowser described the attack on two National Guard members as a ‘targeted shooting’.,https://ca.news.yahoo.com/trump-calls-afghan-refugees-investigated-034949641.html
Trump rages at Biden for 'flying in' Afghan White House shooting suspect,Donald Trump has launched a scathing attack on Joe Biden's immigration policies after two National Guard soldiers were shot at the White House,https://www.express.co.uk/news/us/2139228/trump-unleashes-fury-biden-flying-afghan-white-house-shooting-suspect
Trump sent troops to Washington in August. Some are armed. Some have cleaned parks,Trump launched the deployment on Aug. 11 when he declared a public safety emergency and said his administration also would be removing homeless encampments.,https://headtopics.com/news/trump-sent-troops-to-washington-in-august-some-are-armed-76393914
‘Such a travesty.” Advocates for Haiti blast Trump administration’s move to end TPS,"The Trump administration’s decision to end Temporary Protected Status, TPS, for up to a half million Haitians prompted an immediate wave of criticism from nonprofit organizations working in Haiti, community activists and some Democratic lawmakers.",https://www.swoknews.com/ap/national/such-a-travesty-advocates-for-haiti-blast-trump-administration-s-move-to-end-tps/article_3f0d77f7-8287-50fc-9885-15df7a480ebd.html
Trump vows immigration crackdown after Afghan named as shooter in Guard ambush,"The man suspected of gunning down two National Guard soldiers near the White House on Wednesday was an immigrant from Afghanistan who came to the U.S. during President Biden's 2021 airlift, President Trump said.",https://www.washingtontimes.com/news/2025/nov/26/trump-vows-immigration-crackdown-afghan-named-shooter-guard-ambush/
Trump Promises to Re-Examine ‘Every Single Alien’ Biden Let Into America Following DC National Guard Shooting,"""The DHS is confident that the suspect in custody is a foreigner who entered our country from Afghanistan, a hell hole on Earth,"" the president says.",https://ca.news.yahoo.com/trump-promises-examine-every-single-032032728.html
Trump Calls for Reexamination of Afghan Immigrants After 2 National Guardsmen Shot,The president blames the ambush on two National Guardsmen near the White House on lax Biden-era vetting of immigration from Afghanistan.,https://www.theepochtimes.com/us/trump-calls-for-reexamination-of-afghan-immigrants-after-2-national-guardsmen-shot-5950567
Ukraine Faces Thanksgiving Deadline As Leaks And Doubts Cloud Trump Peace Plan,A turbulent week has left doubt about the outcome of Trump's Thanksgiving peace plan deadline for Ukraine and Russia.,https://ijr.com/ukraine-faces-thanksgiving-deadline-as-leaks-and-doubts-cloud-trump-peace-plan/
"Trump allows more foreign ag workers, eases off ICE raids on farms","In a tacit admission that U.S. food production requires foreign labor, the Trump administration is making it easier for farmers to employ guest workers from other countries.",https://www.postregister.com/farmandranch/labor_and_immigration/trump-allows-more-foreign-ag-workers-eases-off-ice-raids-on-farms/article_e0dba3ae-d470-4af3-9641-23f9526915fe.html
Trump Asks Sanae Takaichi Not To Provoke China After Japan PM Hinted At Military Action Over Taiwan Invasion,"President Donald Trump urged Japanese Prime Minister Sanae Takaichi this week not to further provoke Beijing over Taiwan, after her recent comments suggesting a Chinese attack on the island could trigger Japanese military action.Takaichi's Taiwan Remarks Trigger Beijing BacklashTakaichi set off the sharpest diplomatic clash with China in years when she told parliament that a hypothetical assault on Taiwan might lead Japan to use force. Beijing, which claims the self-ruled island as its own territory, reacted angrily and demanded she retract the remarks, a step she has not taken.Trump Balances Trade Truce And Security TensionsIn a call on Tuesday, Trump told Takaichi he wanted her to avoid further infuriating China, according to a Wall Street Journal report confirmed by Japanese government sources cited by Reuters. The sources said ...Full story available on Benzinga.com",https://www.benzinga.com/news/politics/25/11/49100835/trump-asks-sanae-takaichi-not-to-provoke-china-after-japan-pm-hinted-at-military-action-over-taiwan
